EMD_CD,ADM_CD,Cent_X,Cent_Y
1141066000,1113066,195245,455306
1141068500,1113068,193934,453851
1141069000,1113069,192506,452167
1141070000,1113070,192981,452829
1141071000,1113071,191790,452575
1141072000,1113072,192285,453198
1144056500,1114077,196252,449708
1144055500,1114078,195763,449862
1144059000,1114059,194743,448712
1144060000,1114060,194758,449977
1144061000,1114061,195293,449734
1144063000,1114063,194058,449042
1144066000,1114066,192953,450286
1144068000,1114068,191877,449409
1144069000,1114069,191112,450061
1144070000,1114070,190712,450543
1144071000,1114071,192999,451194
1144072000,1114072,192140,451080
1144073000,1114073,191273,451759
1144074000,1114074,189399,452171
1144058500,1114075,195229,448311
1144065500,1114076,193314,449301
1147051000,1115051,188887,447249
1147052000,1115052,188823,449047
1147053000,1115053,188049,449220
1147054000,1115054,188170,448131
1147055000,1115071,189422,448239
1147056000,1115057,185302,447681
1147057000,1115058,186344,446806
1147058000,1115059,184681,447799
1147059000,1115060,185773,446670
1147060000,1115061,184900,448658
1147061000,1115062,185977,445988
1147061100,1115063,184941,446269
1147062000,1115064,187533,446299
1147063000,1115065,188904,446333
1147064000,1115066,185969,445468
1147065000,1115072,187340,447029
1147067000,1115069,188428,445968
1147068000,1115070,187976,445332
1150051000,1116051,188923,450113
1150052000,1116052,187526,450409
1150053000,1116053,187560,449296
1150053500,1116054,186349,450998
1150059000,1116055,186520,448929
1150054000,1116073,185870,447960
1150055000,1116057,187059,447789
1150056000,1116058,185289,449095
1150057000,1116059,187432,448214
1150061500,1116074,185888,449830
1150059100,1116061,186783,449956
1150059300,1116063,186549,447996
1150060300,1116064,185240,452258
1150060400,1116065,187026,451833
1150060500,1116066,187758,451170
1150061100,1116067,184492,449800
1150062000,1116069,181809,450499
1150063000,1116070,183651,451989
1150064000,1116071,182684,453508
1150064100,1116072,183644,453268
1153051000,1117051,189530,445291
1153052000,1117052,188936,443462
1153053000,1117071,189244,443923
1153054000,1117054,190640,442520
1153055000,1117055,190213,443259
1153056000,1117056,190089,444469
1153059500,1117070,190028,442283
1153072000,1117061,187847,444297
1153073000,1117062,186967,444862
1153074000,1117072,186631,444200
1153075000,1117064,187245,443393
1153076000,1117065,186853,442740
1153077000,1117067,185916,443870
1153078000,1117068,185313,442466
1153079000,1117069,184551,444044
1154551000,1118051,189697,441641
1154561000,1118052,190447,440236
1154562000,1118053,191301,440193
1154563000,1118054,191487,441522
1154564000,1118055,191456,440773
1154567000,1118057,191102,438969
1154568000,1118058,192862,438717
1154569000,1118059,191601,437572
1154570000,1118060,191900,439777
1154571000,1118061,192175,438513
1156051500,1119073,191933,445721
1156053500,1119074,191776,446601
1156054000,1119054,193520,447253
1156055000,1119055,190811,446859
1156056000,1119056,191426,447864
1156058500,1119075,191173,445229
1156060500,1119076,190332,446023
1156061000,1119061,189949,446990
1156062000,1119062,190578,448712
1156063000,1119063,192819,445622
1156065000,1119065,191601,444902
1156066000,1119066,192235,445003
1156067000,1119067,191581,444310
1156068000,1119068,192279,444103
1156069000,1119069,192834,444866
1156070000,1119070,191547,443503
1156071000,1119071,191134,443047
1156072000,1119072,190846,444182
1159051000,1120072,195412,445648
1159052000,1120052,194438,445413
1159053000,1120053,195811,444034
1159054000,1120054,194790,444613
1159055000,1120055,194036,443892
1159056000,1120056,194690,443914
1159060500,1120071,196721,444914
1159062000,1120063,197937,441956
1159063000,1120073,197728,444019
1159064000,1120065,197368,442949
1159065000,1120066,197346,442041
1159065100,1120067,196839,442632
1159066000,1120068,193566,444986
1159067000,1120069,192037,443092
1159068000,1120070,192999,443575
1162060500,1121078,194818,442730
1162052500,1121052,193971,443131
1162056500,1121079,195599,443046
1162054500,1121054,196353,443033
1162059500,1121080,195141,441762
1162057500,1121057,196447,442090
1162058500,1121058,196391,440570
1162061500,1121061,195566,442441
1162062500,1121062,196965,441101
1162063000,1121063,197859,440042
1162064500,1121064,194042,442046
1162065500,1121065,193439,441924
1162066500,1121066,194557,441282
1162077500,1121081,192958,440934
1162068500,1121068,192743,442610
1162069500,1121069,193516,442753
1162074500,1121082,193744,439871
1162071500,1121071,192709,439947
1162072500,1121072,191751,442311
1162073500,1121073,195366,439046
1162076500,1121083,192454,441525
1165051000,1122051,201709,442749
1165052000,1122052,202397,442960
1165053000,1122053,200769,442583
1165053100,1122054,201685,444083
1165054000,1122055,201084,446154
1165055000,1122056,198733,444898
1165056000,1122057,201408,444810
1165057000,1122058,199544,444899
1165058000,1122059,200249,445563
1165058100,1122060,200226,444155
1165059000,1122061,198848,443638
1165060000,1122062,199600,442522
1165061000,1122063,198903,441224
1165062000,1122064,199749,441348
1165062100,1122065,199131,443070
1165065100,1122066,201926,440819
1165065200,1122067,203995,438770
1165066000,1122068,206182,439375
1168051000,1123051,201820,447053
1168052100,1123052,202272,445518
1168053100,1123053,203133,445885
1168054000,1123054,202537,447635
1168055000,1123055,203317,447466
1168056000,1123056,204650,447055
1168057000,1123057,203816,446665
1168058000,1123058,205290,445908
1168059000,1123059,204243,445515
1168060000,1123060,205152,443460
1168061000,1123061,205800,443712
1168062000,1123062,205800,444523
1168063000,1123063,204782,444376
1168064000,1123064,203070,444296
1168065000,1123065,203899,444034
1168065500,1123066,203553,442978
1168065600,1123067,204322,442892
1168066000,1123068,205202,441937
1168067000,1123069,205922,442255
1168068000,1123070,206331,442990
1168069000,1123071,204637,441498
1168072000,1123072,207415,442234
1168073000,1123073,207821,443468
1168074000,1123074,206943,443701
1168075000,1123075,208810,442744
1168070000,1123076,209170,440995
1171051000,1124051,210032,448448
1171052000,1124052,209665,447516
1171053100,1124053,212492,443620
1171053200,1124054,213005,442931
1171054000,1124055,213691,443637
1171055000,1124056,213318,444248
1171056100,1124057,210746,445292
1171056200,1124058,209995,445673
1171056600,1124059,211294,446157
1171057000,1124060,211794,444652
1171058000,1124061,209690,445002
1171059000,1124062,210271,444516
1171060000,1124063,208996,444509
1171061000,1124064,208057,444393
1171062000,1124065,210689,443877
1171063100,1124066,209498,443681
1171063200,1124067,211486,443747
1171064100,1124068,211149,442923
1171064200,1124069,210471,442060
1171064600,1124070,211877,442067
1171065000,1124071,207206,444811
1171067000,1124079,206898,446166
1171068000,1124080,208268,445717
1171069000,1124075,209492,446559
1171071000,1124077,208769,446317
1171072000,1124078,206481,445029
1174051500,1125051,215311,451289
1174052000,1125052,214500,449836
1174053000,1125053,212827,449792
1174054000,1125054,213570,449566
1174055000,1125055,213203,451242
1174056000,1125056,214204,451521
1174057000,1125072,211822,449961
1174058000,1125058,210818,450578
1174059000,1125059,212165,451025
1174060000,1125061,212175,449349
1174061000,1125073,210735,449170
1174062000,1125063,211713,448611
1174064000,1125065,211026,447397
1174065000,1125066,211214,448019
1174066000,1125067,211756,447358
1174068500,1125074,212825,448621
1174069000,1125070,212345,446776
1174070000,1125071,212956,447704
